"Age","Sex","Deaths","Population","CR","YearGroup","Mechanism"
54,"Male",2545,14950865,17.02,"2008-2014","Firearm"
54,"Female",473,15642467,3.02,"2008-2014","Firearm"
55,"Male",2428,14482734,16.77,"2008-2014","Firearm"
55,"Female",444,15273294,2.91,"2008-2014","Firearm"
56,"Male",2458,14129436,17.4,"2008-2014","Firearm"
56,"Female",444,14955708,2.97,"2008-2014","Firearm"
57,"Male",2279,13717540,16.61,"2008-2014","Firearm"
57,"Female",404,14591602,2.77,"2008-2014","Firearm"
58,"Male",2318,13322070,17.4,"2008-2014","Firearm"
58,"Female",360,14232572,2.53,"2008-2014","Firearm"
59,"Male",2216,12880705,17.2,"2008-2014","Firearm"
59,"Female",355,13828367,2.57,"2008-2014","Firearm"
60,"Male",2118,12422689,17.05,"2008-2014","Firearm"
60,"Female",350,13409791,2.61,"2008-2014","Firearm"
61,"Male",2090,12234150,17.08,"2008-2014","Firearm"
61,"Female",287,13229866,2.17,"2008-2014","Firearm"
62,"Male",1751,11654564,15.02,"2008-2014","Firearm"
62,"Female",272,12659703,2.15,"2008-2014","Firearm"
63,"Male",1768,10984765,16.1,"2008-2014","Firearm"
63,"Female",272,11987069,2.27,"2008-2014","Firearm"
64,"Male",1766,10477775,16.86,"2008-2014","Firearm"
64,"Female",277,11481410,2.41,"2008-2014","Firearm"
65,"Male",1618,10027174,16.14,"2008-2014","Firearm"
65,"Female",234,11065275,2.12,"2008-2014","Firearm"
66,"Male",1603,9443198,16.98,"2008-2014","Firearm"
66,"Female",228,10486432,2.17,"2008-2014","Firearm"
67,"Male",1437,8755921,16.41,"2008-2014","Firearm"
67,"Female",185,9804509,1.89,"2008-2014","Firearm"
68,"Male",1468,7986396,18.38,"2008-2014","Firearm"
68,"Female",169,9040243,1.87,"2008-2014","Firearm"
69,"Male",1412,7587876,18.61,"2008-2014","Firearm"
69,"Female",191,8672914,2.2,"2008-2014","Firearm"
70,"Male",1429,7147991,19.99,"2008-2014","Firearm"
70,"Female",156,8257595,1.89,"2008-2014","Firearm"
71,"Male",1300,6733978,19.31,"2008-2014","Firearm"
71,"Female",160,7858096,2.04,"2008-2014","Firearm"
72,"Male",1267,6212397,20.4,"2008-2014","Firearm"
72,"Female",127,7348359,1.73,"2008-2014","Firearm"
73,"Male",1337,5855163,22.84,"2008-2014","Firearm"
73,"Female",104,7022125,1.48,"2008-2014","Firearm"
74,"Male",1217,5494926,22.15,"2008-2014","Firearm"
74,"Female",103,6681922,1.54,"2008-2014","Firearm"
75,"Male",1199,5136072,23.35,"2008-2014","Firearm"
75,"Female",103,6352262,1.62,"2008-2014","Firearm"
76,"Male",1158,4854183,23.86,"2008-2014","Firearm"
76,"Female",101,6116936,1.65,"2008-2014","Firearm"
77,"Male",1124,4562740,24.63,"2008-2014","Firearm"
77,"Female",79,5872145,1.35,"2008-2014","Firearm"
78,"Male",1107,4321472,25.62,"2008-2014","Firearm"
78,"Female",77,5686677,1.35,"2008-2014","Firearm"
79,"Male",1136,4058516,27.99,"2008-2014","Firearm"
79,"Female",76,5479853,1.39,"2008-2014","Firearm"
80,"Male",1083,3766953,28.75,"2008-2014","Firearm"
80,"Female",79,5224413,1.51,"2008-2014","Firearm"
81,"Male",1113,3537625,31.46,"2008-2014","Firearm"
81,"Female",80,5059927,1.58,"2008-2014","Firearm"
82,"Male",1022,3259498,31.36,"2008-2014","Firearm"
82,"Female",67,4830467,1.39,"2008-2014","Firearm"
83,"Male",1014,2990102,33.91,"2008-2014","Firearm"
83,"Female",62,4595069,1.35,"2008-2014","Firearm"
84,"Male",946,2695602,35.09,"2008-2014","Firearm"
84,"Female",56,4317681,1.3,"2008-2014","Firearm"
12,"Male",148,14787575,1,"2008-2014","Non-Firearm"
12,"Female",93,14149656,0.66,"2008-2014","Non-Firearm"
13,"Male",227,14896737,1.52,"2008-2014","Non-Firearm"
13,"Female",183,14235929,1.29,"2008-2014","Non-Firearm"
14,"Male",360,14943371,2.41,"2008-2014","Non-Firearm"
14,"Female",260,14254903,1.82,"2008-2014","Non-Firearm"
15,"Male",519,15075757,3.44,"2008-2014","Non-Firearm"
15,"Female",390,14361488,2.72,"2008-2014","Non-Firearm"
16,"Male",711,15294888,4.65,"2008-2014","Non-Firearm"
16,"Female",423,14546262,2.91,"2008-2014","Non-Firearm"
17,"Male",983,15537658,6.33,"2008-2014","Non-Firearm"
17,"Female",375,14726424,2.55,"2008-2014","Non-Firearm"
18,"Male",1216,15860442,7.67,"2008-2014","Non-Firearm"
18,"Female",417,15040706,2.77,"2008-2014","Non-Firearm"
19,"Male",1509,16042825,9.41,"2008-2014","Non-Firearm"
19,"Female",445,15238395,2.92,"2008-2014","Non-Firearm"
20,"Male",1683,16001818,10.52,"2008-2014","Non-Firearm"
