gender,deaths,agegroup,pop,deaths_100k,strictness,method,mode
Male,487,40,5298120,9.191939782413385,Strict,Suicide,Firearm
Male,479,41,5148252,9.304128857717144,Strict,Suicide,Firearm
Male,446,42,5025688,8.874406847380895,Strict,Suicide,Firearm
Male,486,43,4936152,9.845725982506211,Strict,Suicide,Firearm
Male,486,44,4859219,10.001607254169857,Strict,Suicide,Firearm
Male,457,45,4809147,9.502724703570092,Strict,Suicide,Firearm
Male,503,46,4797882,10.483792640169142,Strict,Suicide,Firearm
Male,546,47,4888825,11.168327767919694,Strict,Suicide,Firearm
Male,523,48,5009296,10.4405888571967,Strict,Suicide,Firearm
Male,527,49,5094413,10.344665813313526,Strict,Suicide,Firearm
Male,588,50,5163131,11.388438526932593,Strict,Suicide,Firearm
Male,545,51,5133545,10.616445360856874,Strict,Suicide,Firearm
Male,597,52,5079169,11.753891236932656,Strict,Suicide,Firearm
Male,572,53,5087007,11.244332866064466,Strict,Suicide,Firearm
Male,602,54,5142986,11.705262273706365,Strict,Suicide,Firearm
Male,603,55,5210428,11.572945639014684,Strict,Suicide,Firearm
Male,630,56,5243677,12.01446999881953,Strict,Suicide,Firearm
Male,698,57,5284996,13.20720015682131,Strict,Suicide,Firearm
Male,714,58,5308100,13.451140709481736,Strict,Suicide,Firearm
Male,738,59,5273644,13.994118677711274,Strict,Suicide,Firearm
Male,693,60,5219703,13.276617462717706,Strict,Suicide,Firearm
Male,696,61,5109886,13.620656116398683,Strict,Suicide,Firearm
Male,651,62,4981911,13.067274786723408,Strict,Suicide,Firearm
Male,607,63,4855673,12.500841798860836,Strict,Suicide,Firearm
Male,624,64,4703291,13.267305807784378,Strict,Suicide,Firearm
Male,608,65,4518976,13.454375504539081,Strict,Suicide,Firearm
Male,547,66,4303514,12.710543058533098,Strict,Suicide,Firearm
Male,533,67,4119671,12.93792635382777,Strict,Suicide,Firearm
Male,523,68,3941864,13.26783470967035,Strict,Suicide,Firearm
Male,559,69,3774660,14.809280835889854,Strict,Suicide,Firearm
Male,530,70,3619440,14.643149216453374,Strict,Suicide,Firearm
Male,539,71,3506739,15.370405382322437,Strict,Suicide,Firearm
Male,504,72,3250971,15.503060470241044,Strict,Suicide,Firearm
Male,521,73,3014713,17.28191041734321,Strict,Suicide,Firearm
Male,522,74,2801415,18.633440600553648,Strict,Suicide,Firearm
Male,558,75,2586266,21.575506927748343,Strict,Suicide,Firearm
Male,479,76,2265472,21.14349680772925,Strict,Suicide,Firearm
Male,495,77,2103209,23.535464140748733,Strict,Suicide,Firearm
Male,469,78,1938354,24.195786734518048,Strict,Suicide,Firearm
Male,465,79,1765705,26.335089949906695,Strict,Suicide,Firearm
Male,443,80,1579851,28.040619020401287,Strict,Suicide,Firearm
Male,358,81,1421104,25.191681959941,Strict,Suicide,Firearm
Male,381,82,1289000,29.5577967416602,Strict,Suicide,Firearm
Male,362,83,1168701,30.97456064468157,Strict,Suicide,Firearm
Male,300,84,1042649,28.77286603641302,Strict,Suicide,Firearm
Female,199,15,5445450,3.6544270905067533,Permissive,Suicide,Non-Firearm
Female,203,16,5399546,3.759575342075056,Permissive,Suicide,Non-Firearm
Female,196,17,5403151,3.6275129086712554,Permissive,Suicide,Non-Firearm
Female,214,18,5333910,4.012066195342628,Permissive,Suicide,Non-Firearm
Female,215,19,5411640,3.9729176367977175,Permissive,Suicide,Non-Firearm
Female,235,20,5496036,4.27580896486122,Permissive,Suicide,Non-Firearm
Female,253,21,5564901,4.546352217227224,Permissive,Suicide,Non-Firearm
Female,224,22,5555492,4.032046126607688,Permissive,Suicide,Non-Firearm
Female,246,23,5517038,4.458914366730843,Permissive,Suicide,Non-Firearm
Female,235,24,5495051,4.276575413039843,Permissive,Suicide,Non-Firearm
Female,229,25,5507629,4.157869021315706,Permissive,Suicide,Non-Firearm
Female,264,26,5580610,4.730665644078336,Permissive,Suicide,Non-Firearm
Female,256,27,5689603,4.499435197851239,Permissive,Suicide,Non-Firearm
Female,282,28,5784148,4.875393921455675,Permissive,Suicide,Non-Firearm
Female,285,29,5803835,4.910546216424141,Permissive,Suicide,Non-Firearm
Female,290,30,5765391,5.030014443079403,Permissive,Suicide,Non-Firearm
Female,290,31,5685614,5.100592477786919,Permissive,Suicide,Non-Firearm
Female,320,32,5604516,5.709681264180529,Permissive,Suicide,Non-Firearm
Female,292,33,5547415,5.263712918539536,Permissive,Suicide,Non-Firearm
Female,256,34,5503111,4.651914162734497,Permissive,Suicide,Non-Firearm
Female,288,35,5501301,5.23512529127201,Permissive,Suicide,Non-Firearm
Female,277,36,5507026,5.029938119050101,Permissive,Suicide,Non-Firearm
Female,324,37,5509301,5.880963846411731,Permissive,Suicide,Non-Firearm
Female,298,38,5524201,5.394445278149727,Permissive,Suicide,Non-Firearm
Female,272,39,5491393,4.953205862337662,Permissive,Suicide,Non-Firearm
Female,312,40,5413580,5.763284185326531,Permissive,Suicide,Non-Firearm
Female,287,41,5309520,5.405385044222453,Permissive,Suicide,Non-Firearm
Female,292,42,5204953,5.610041051283268,Permissive,Suicide,Non-Firearm
Female,256,43,5125380,4.994751608661211,Permissive,Suicide,Non-Firearm
Female,306,44,5060863,6.046399596274391,Permissive,Suicide,Non-Firearm
Female,303,45,5031897,6.021585894941808,Permissive,Suicide,Non-Firearm
Female,288,46,5039633,5.7147018443604916,Permissive,Suicide,Non-Firearm
Female,328,47,5147571,6.371937366186887,Permissive,Suicide,Non-Firearm
Female,343,48,5235105,6.551922072241149,Permissive,Suicide,Non-Firearm
Female,305,49,5282669,5.773596642151912,Permissive,Suicide,Non-Firearm
Female,300,50,5291329,5.669653124952162,Permissive,Suicide,Non-Firearm
Female,302,51,5236561,5.767143741856535,Permissive,Suicide,Non-Firearm
Female,337,52,5163021,6.527186312044828,Permissive,Suicide,Non-Firearm
Female,338,53,5182429,6.522038217986199,Permissive,Suicide,Non-Firearm
Female,310,54,5278617,5.872750381397248,Permissive,Suicide,Non-Firearm
Female,317,55,5399038,5.8714163523205425,Permissive,Suicide,Non-Firearm
Female,316,56,5498088,5.747452568965794,Permissive,Suicide,Non-Firearm
Female,294,57,5596059,5.253697289467462,Permissive,Suicide,Non-Firearm
Female,345,58,5650300,6.105870484753022,Permissive,Suicide,Non-Firearm
Female,286,59,5648299,5.06347132118891,Permissive,Suicide,Non-Firearm
Female,288,60,5621813,5.122902522727099,Permissive,Suicide,Non-Firearm
Female,279,61,5557010,5.0206855845139735,Permissive,Suicide,Non-Firearm
